,description,species,text_length,cleaned_text,chunked,POS Tag
409," The Heron Specialist Group, HeronConservation, is an independent network of biologists, conservationists, and others engaged in research and conservation of herons.",Little Egret,165,heron specialist group heronconservation independent network biologist conservationist others engaged research conservation heron,heron specialist group heronconservation independent network biologist conservationist others engaged research conservation heron,"[[('heron', 'NN'), ('specialist', 'NN'), ('group', 'NN'), ('heronconservation', 'NN'), ('independent', 'JJ'), ('network', 'NN'), ('biologist', 'JJ'), ('conservationist', 'NN'), ('others', 'NNS'), ('engaged', 'VBD'), ('research', 'NN'), ('conservation', 'NN'), ('heron', 'NN')]]"
410,"Black-naped oriole (Oriolus chinensis) sound,calling and singing. The usual call is a nasal niee or myaa and the song is a fluty iwee wee wee-leeow. Black-n... ",Black-naped Oriole,160,black naped oriole oriolus chinensis sound calling singing usual call nasal niee myaa song fluty iwee wee wee leeow black n,black naped oriole oriolus chinensis sound calling singing usual call nasal niee myaa song fluty iwee wee wee leeow black n,"[[('black', 'JJ'), ('naped', 'VBD'), ('oriole', 'JJ'), ('oriolus', 'JJ'), ('chinensis', 'NN'), ('sound', 'NN'), ('calling', 'VBG'), ('singing', 'VBG'), ('usual', 'JJ'), ('call', 'NN'), ('nasal', 'NN'), ('niee', 'JJ'), ('myaa', 'NN'), ('song', 'NN'), ('fluty', 'NN'), ('iwee', 'NN'), ('wee', 'NN'), ('wee', 'NN'), ('leeow', 'JJ'), ('black', 'JJ'), ('n', 'NN')]]"
411,"Common Myna. This bird looks like the. Javan Myna, but it has yellow skin around its eyes. Asian Koel. The male birds call out. 'ku-oo' to warn other birds notï¿½...",Javan Myna,165,common myna bird look like javan myna yellow skin around eye asian koel male bird call ku oo warn bird,common myna bird look like javan_myna yellow skin around eye asian koel male bird call ku oo warn bird,"[[('common', 'JJ'), ('myna', 'NN'), ('bird', 'JJ'), ('look', 'NN'), ('like', 'IN'), ('javan_myna', 'NN'), ('yellow', 'JJ'), ('skin', 'NN'), ('around', 'IN'), ('eye', 'NN'), ('asian', 'JJ'), ('koel', 'NN'), ('male', 'JJ'), ('bird', 'NN'), ('call', 'NN'), ('ku', 'NN'), ('oo', 'NN'), ('warn', 'VBP'), ('bird', 'NN')]]"
412,Feb 2022. The Kingfisher Trail is a very plesant and well marked and prepared hike that should take 2-3h. There is no particular fitness level or special outdoor equipment required making this a trip that can be done without extensive planning and in the morning before lunch. ,Collared Kingfisher,277,feb kingfisher trail plesant well marked prepared hike take h particular fitness level special outdoor equipment required making trip done without extensive planning morning lunch,feb kingfisher trail plesant well marked prepared hike take h particular fitness level special outdoor equipment required making trip done without extensive planning morning lunch,"[[('feb', 'NN'), ('kingfisher', 'CC'), ('trail', 'NN'), ('plesant', 'NN'), ('well', 'RB'), ('marked', 'VBN'), ('prepared', 'JJ'), ('hike', 'NNS'), ('take', 'VBP'), ('h', 'NN'), ('particular', 'JJ'), ('fitness', 'NN'), ('level', 'NN'), ('special', 'JJ'), ('outdoor', 'JJ'), ('equipment', 'NN'), ('required', 'VBN'), ('making', 'VBG'), ('trip', 'NN'), ('done', 'VBN'), ('without', 'IN'), ('extensive', 'JJ'), ('planning', 'NN'), ('morning', 'NN'), ('lunch', 'NN')]]"
413,"""Kingfishers are known to bathe by plunge-diving into water. So far, all episodes of kingfishers bathing that I have witnessed had occurred only in fresh",Collared Kingfisher,153,kingfisher known bathe plunge diving water far episode kingfisher bathing witnessed occurred fresh,kingfisher known bathe plunge diving water far episode kingfisher bathing witnessed occurred fresh,"[[('kingfisher', 'RB'), ('known', 'VBN'), ('bathe', 'JJ'), ('plunge', 'NN'), ('diving', 'VBG'), ('water', 'NN'), ('far', 'RB'), ('episode', 'VBZ'), ('kingfisher', 'RBR'), ('bathing', 'VBG'), ('witnessed', 'VBN'), ('occurred', 'JJ'), ('fresh', 'JJ')]]"
414,"The brightly-colored Black-naped Oriole can be quite difficult to find even if it is bright yellow. Photo by Chin Fernandez. Fun Fact: The Black-naped Oriole is locally called kilyawan, based on the loud calls it makes. Click here to watch a very amusing video of a Black-naped Oriole calling just outside WBCP member Aliceâ€™s window! 7. ",Black-naped Oriole,339,brightly colored black naped oriole quite difficult find even bright yellow photo chin fernandez fun fact black naped oriole locally called kilyawan based loud call make click watch amusing video black naped oriole calling outside wbcp member alice window,brightly colored black naped oriole quite difficult find even bright yellow photo chin fernandez fun fact black naped oriole locally called kilyawan based loud call make click watch amusing video black naped oriole calling outside wbcp member alice window,"[[('brightly', 'RB'), ('colored', 'VBN'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'IN'), ('quite', 'RB'), ('difficult', 'JJ'), ('find', 'VB'), ('even', 'RB'), ('bright', 'JJ'), ('yellow', 'JJ'), ('photo', 'NN'), ('chin', 'NN'), ('fernandez', 'NN'), ('fun', 'NN'), ('fact', 'NN'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('locally', 'RB'), ('called', 'VBD'), ('kilyawan', 'NNS'), ('based', 'VBN'), ('loud', 'JJ'), ('call', 'NN'), ('make', 'VBP'), ('click', 'JJ'), ('watch', 'NN'), ('amusing', 'VBG'), ('video', 'JJ'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'IN'), ('calling', 'VBG'), ('outside', 'JJ'), ('wbcp', 'JJ'), ('member', 'NN'), ('alice', 'NN'), ('window', 'NN')]]"
415,"21 Jan 2007 ï¿½ According to the literature, Javan Mynas lay a clutch of 2â€“5 eggs at a time and incubate for 13â€“14 days in captivity. It is also probable thatï¿½...",Javan Myna,168,jan according literature javan myna lay clutch egg time incubate day captivity also probable,jan according literature javan_myna lay clutch egg time incubate day captivity also probable,"[[('jan', 'NN'), ('according', 'VBG'), ('literature', 'NN'), ('javan_myna', 'NN'), ('lay', 'VBD'), ('clutch', 'NN'), ('egg', 'NN'), ('time', 'NN'), ('incubate', 'JJ'), ('day', 'NN'), ('captivity', 'NN'), ('also', 'RB'), ('probable', 'JJ')]]"
418,"Shop for iCanvas ""Black-Naped Oriole And China Rose, c.1833"" by Katsushika Hokusai Framed. Free Shipping on Everything* at Bed Bath & Beyond - Your Online Art Gallery Store! - 37682042 ",Black-naped Oriole,185,shop icanvas black naped oriole china rose c katsushika hokusai framed free shipping everything bed bath beyond online art gallery store,shop icanvas black naped oriole china rose c katsushika hokusai framed free shipping everything bed bath beyond online art gallery store,"[[('shop', 'NN'), ('icanvas', 'VBZ'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'JJ'), ('china', 'NN'), ('rose', 'VBD'), ('c', 'JJ'), ('katsushika', 'FW'), ('hokusai', 'NN'), ('framed', 'VBD'), ('free', 'JJ'), ('shipping', 'NN'), ('everything', 'NN'), ('bed', 'VBD'), ('bath', 'JJ'), ('beyond', 'IN'), ('online', 'JJ'), ('art', 'NN'), ('gallery', 'NN'), ('store', 'NN')]]"
419,"Apr 11, 2021 Â·  A black and white kingfisher is small to medium dimension bird with distinctive giant heads, lengthy, sharp, pointed payments, quick legs, and stubby tails. The black and white kingfisher primarily eats fish however can typically be seen consuming frogs, bugs, and even snakes. The black and white kingfisher has, as its identity suggests, black ... ",Collared Kingfisher,367,apr black white kingfisher small medium dimension bird distinctive giant head lengthy sharp pointed payment quick leg stubby tail black white kingfisher primarily eats fish however typically seen consuming frog bug even snake black white kingfisher identity suggests black,apr black white kingfisher small medium dimension bird distinctive giant head lengthy sharp pointed payment quick leg stubby tail black white kingfisher primarily eats fish however typically seen consuming frog bug even snake black white kingfisher identity suggests black,"[[('apr', 'JJ'), ('black', 'JJ'), ('white', 'JJ'), ('kingfisher', 'NN'), ('small', 'JJ'), ('medium', 'NN'), ('dimension', 'NN'), ('bird', 'NN'), ('distinctive', 'JJ'), ('giant', 'JJ'), ('head', 'NN'), ('lengthy', 'NN'), ('sharp', 'JJ'), ('pointed', 'JJ'), ('payment', 'NN'), ('quick', 'JJ'), ('leg', 'NN'), ('stubby', 'NN'), ('tail', 'NN'), ('black', 'JJ'), ('white', 'JJ'), ('kingfisher', 'NN'), ('primarily', 'RB'), ('eats', 'VBZ'), ('fish', 'JJ'), ('however', 'RB'), ('typically', 'RB'), ('seen', 'VBN'), ('consuming', 'VBG'), ('frog', 'JJ'), ('bug', 'NN'), ('even', 'RB'), ('snake', 'VB'), ('black', 'JJ'), ('white', 'JJ'), ('kingfisher', 'NN'), ('identity', 'NN'), ('suggests', 'VBZ'), ('black', 'JJ')]]"
420,"15K Followers, 5,766 Following, 937 Posts - See Instagram photos and videos from Robert Zhao Renhui (@robert_zhao)",Javan Myna,114,k follower following post see instagram photo video robert zhao renhui robert zhao,k follower following post see instagram photo video robert zhao renhui robert zhao,"[[('k', 'NN'), ('follower', 'NN'), ('following', 'VBG'), ('post', 'NN'), ('see', 'VBP'), ('instagram', 'JJ'), ('photo', 'NN'), ('video', 'NN'), ('robert', 'NN'), ('zhao', 'NNP'), ('renhui', 'NN'), ('robert', 'NN'), ('zhao', 'NN')]]"
422,Article ,Black-naped Oriole,8,article,article,"[[('article', 'NN')]]"
423,"Black-hooded oriole. The black-hooded oriole (Oriolus xanthornus) is a member of the oriole family of passerine birds and is a resident breeder in tropical southern Asia from India and Sri Lanka east to Indonesia. It is a bird of open woodland and cultivation. The nest is built in a tree, and contains two eggs. ",Black-naped Oriole,313,black hooded oriole black hooded oriole oriolus xanthornus member oriole family passerine bird resident breeder tropical southern asia india sri lanka east indonesia bird open woodland cultivation nest built tree contains two egg,black hooded oriole black hooded oriole oriolus xanthornus member oriole family passerine bird resident breeder tropical southern asia india sri lanka east indonesia bird open woodland cultivation nest built tree contains two egg,"[[('black', 'JJ'), ('hooded', 'VBD'), ('oriole', 'JJ'), ('black', 'JJ'), ('hooded', 'VBD'), ('oriole', 'JJ'), ('oriolus', 'JJ'), ('xanthornus', 'JJ'), ('member', 'NN'), ('oriole', 'JJ'), ('family', 'NN'), ('passerine', 'NN'), ('bird', 'NN'), ('resident', 'NN'), ('breeder', 'NN'), ('tropical', 'JJ'), ('southern', 'JJ'), ('asia', 'NN'), ('india', 'NN'), ('sri', 'NN'), ('lanka', 'VBD'), ('east', 'JJ'), ('indonesia', 'JJ'), ('bird', 'NN'), ('open', 'JJ'), ('woodland', 'NN'), ('cultivation', 'NN'), ('nest', 'JJS'), ('built', 'VBN'), ('tree', 'JJ'), ('contains', 'NNS'), ('two', 'CD'), ('egg', 'NN')]]"
424,"Typical yellow and black Old World oriole. Male entirely golden-yellow apart from black wings and tail and a broad black band through the eyes. The tail and wings have yellow tips. The bill is deep pinkish. Female similar to the male but with more yellowish-green upperparts. Juveniles show streaked underparts. Found in a variety of forest habitats, including plantations and gardens; forages in forest canopy.",Black-naped Oriole,411,typical yellow black old world oriole male entirely golden yellow apart black wing tail broad black band eye tail wing yellow tip bill deep pinkish female similar male yellowish green upperparts juvenile show streaked underpart found variety forest habitat including plantation garden forage forest canopy,typical yellow black old world oriole male entirely golden yellow apart black wing tail broad black band eye tail wing yellow tip bill deep pinkish female similar male yellowish green upperparts juvenile show streaked underpart found variety forest habitat including plantation garden forage forest canopy,"[[('typical', 'JJ'), ('yellow', 'JJ'), ('black', 'JJ'), ('old', 'JJ'), ('world', 'NN'), ('oriole', 'NN'), ('male', 'NN'), ('entirely', 'RB'), ('golden', 'JJ'), ('yellow', 'JJ'), ('apart', 'RB'), ('black', 'JJ'), ('wing', 'VBG'), ('tail', 'NN'), ('broad', 'JJ'), ('black', 'JJ'), ('band', 'NN'), ('eye', 'NN'), ('tail', 'NN'), ('wing', 'VBG'), ('yellow', 'JJ'), ('tip', 'NN'), ('bill', 'NN'), ('deep', 'JJ'), ('pinkish', 'JJ'), ('female', 'NN'), ('similar', 'JJ'), ('male', 'NN'), ('yellowish', 'JJ'), ('green', 'JJ'), ('upperparts', 'NNS'), ('juvenile', 'NN'), ('show', 'NN'), ('streaked', 'VBD'), ('underpart', 'JJ'), ('found', 'VBN'), ('variety', 'NN'), ('forest', 'JJS'), ('habitat', 'NN'), ('including', 'VBG'), ('plantation', 'NN'), ('garden', 'NN'), ('forage', 'NN'), ('forest', 'JJS'), ('canopy', 'NN')]]"
425,"Seasonal occurrence. 54 foreground recordings and 9 background recordings of Actenoides concretus . Total recording duration 46:08. Recording made by the Guardian. Swamp loop. Taman Negara, Pahang. Kuala Terenggan area. Taman Negara, Pahang. Calling quietly at first, perched only about 2m off the ground, then increasing the volume of the call. ",Collared Kingfisher,346,seasonal occurrence foreground recording background recording actenoides concretus total recording duration recording made guardian swamp loop taman negara pahang kuala terenggan area taman negara pahang calling quietly first perched ground increasing volume call,seasonal occurrence foreground recording background recording actenoides concretus total recording duration recording made guardian swamp loop taman negara pahang kuala terenggan area taman negara pahang calling quietly first perched ground increasing volume call,"[[('seasonal', 'JJ'), ('occurrence', 'NN'), ('foreground', 'NN'), ('recording', 'VBG'), ('background', 'NN'), ('recording', 'VBG'), ('actenoides', 'NNS'), ('concretus', 'VBP'), ('total', 'JJ'), ('recording', 'VBG'), ('duration', 'NN'), ('recording', 'VBG'), ('made', 'VBN'), ('guardian', 'JJ'), ('swamp', 'NN'), ('loop', 'NN'), ('taman', 'NN'), ('negara', 'NN'), ('pahang', 'NN'), ('kuala', 'VBD'), ('terenggan', 'JJ'), ('area', 'NN'), ('taman', 'NN'), ('negara', 'NN'), ('pahang', 'NN'), ('calling', 'VBG'), ('quietly', 'RB'), ('first', 'RB'), ('perched', 'VBN'), ('ground', 'NN'), ('increasing', 'VBG'), ('volume', 'NN'), ('call', 'NN')]]"
426, Shop Walmart.com today for Every Day Low Prices. Join Walmart+ for unlimited free delivery from your store & free shipping with no order minimum. Start your free 30-day trial now!,Little Egret,180,shop walmart com today every day low price join walmart unlimited free delivery store free shipping order minimum start free day trial,shop walmart com today every day low price join walmart unlimited free delivery store free shipping order minimum start free day trial,"[[('shop', 'NN'), ('walmart', 'NN'), ('com', 'NN'), ('today', 'NN'), ('every', 'DT'), ('day', 'NN'), ('low', 'JJ'), ('price', 'NN'), ('join', 'NN'), ('walmart', 'NN'), ('unlimited', 'VBD'), ('free', 'JJ'), ('delivery', 'NN'), ('store', 'NN'), ('free', 'JJ'), ('shipping', 'NN'), ('order', 'NN'), ('minimum', 'JJ'), ('start', 'JJ'), ('free', 'JJ'), ('day', 'NN'), ('trial', 'NN')]]"
427," This page should be cited as: Robinson, R.A. (2005) BirdFacts: profiles of birds occurring in Britain & Ireland. BTO, Thetford (http://www.bto.org/birdfacts, accessed on ) Â· Seen a ringed / dead / diseased bird",Little Egret,212,page cited robinson r birdfacts profile bird occurring britain ireland bto thetford http www bto org birdfacts accessed seen ringed dead diseased bird,page cited robinson r birdfacts profile bird occurring britain ireland bto thetford http www bto org birdfacts accessed seen ringed dead diseased bird,"[[('page', 'NN'), ('cited', 'VBD'), ('robinson', 'NN'), ('r', 'NN'), ('birdfacts', 'NNS'), ('profile', 'JJ'), ('bird', 'NN'), ('occurring', 'VBG'), ('britain', 'NN'), ('ireland', 'NN'), ('bto', 'NN'), ('thetford', 'NN'), ('http', 'NN'), ('www', 'NN'), ('bto', 'NN'), ('org', 'NN'), ('birdfacts', 'NNS'), ('accessed', 'VBD'), ('seen', 'VBN'), ('ringed', 'VBN'), ('dead', 'JJ'), ('diseased', 'JJ'), ('bird', 'NN')]]"
428,"The Indian golden oriole is very similar to the Eurasian golden oriole but has more yellow in the tail and has a paler shade of red in the iris and bill. The male has the black eye stripe extending behind the eye, a large carpal patch on the wing and wide yellow tips to the secondaries and tertiaries. The streaks on the underside of females is ... ",Black-naped Oriole,350,indian golden oriole similar eurasian golden oriole yellow tail paler shade red iris bill male black eye stripe extending behind eye large carpal patch wing wide yellow tip secondary tertiary streak underside female,indian golden oriole similar eurasian golden oriole yellow tail paler shade red iris bill male black eye stripe extending behind eye large carpal patch wing wide yellow tip secondary tertiary streak underside female,"[[('indian', 'JJ'), ('golden', 'JJ'), ('oriole', 'NN'), ('similar', 'JJ'), ('eurasian', 'JJ'), ('golden', 'JJ'), ('oriole', 'NN'), ('yellow', 'JJ'), ('tail', 'NN'), ('paler', 'NN'), ('shade', 'NN'), ('red', 'VBD'), ('iris', 'JJ'), ('bill', 'NN'), ('male', 'JJ'), ('black', 'JJ'), ('eye', 'NN'), ('stripe', 'NN'), ('extending', 'VBG'), ('behind', 'IN'), ('eye', 'NN'), ('large', 'JJ'), ('carpal', 'JJ'), ('patch', 'NN'), ('wing', 'VBG'), ('wide', 'JJ'), ('yellow', 'JJ'), ('tip', 'NN'), ('secondary', 'JJ'), ('tertiary', 'JJ'), ('streak', 'NN'), ('underside', 'JJ'), ('female', 'NN')]]"
429,"6 likes, 0 comments - ghinoarsalan on August 19, 2021: ""Kepodang (Oriolus chinensis) The black-naped oriole Kepodang adalah burung berkicau yang mempun..."" Ghino Arsalan on Instagram: ""Kepodang (Oriolus chinensis) The black-naped oriole Kepodang adalah burung berkicau yang mempunyai bulu yang indah dan juga terkenal sebagai burung pesolek yang ... ",Black-naped Oriole,350,like comment ghinoarsalan august kepodang oriolus chinensis black naped oriole kepodang adalah burung berkicau yang mempun ghino arsalan instagram kepodang oriolus chinensis black naped oriole kepodang adalah burung berkicau yang mempunyai bulu yang indah dan juga terkenal sebagai burung pesolek yang,like comment ghinoarsalan august kepodang oriolus chinensis black naped oriole kepodang adalah burung berkicau yang mempun ghino arsalan instagram kepodang oriolus chinensis black naped oriole kepodang adalah burung berkicau yang mempunyai bulu yang indah dan juga terkenal sebagai burung pesolek yang,"[[('like', 'IN'), ('comment', 'NN'), ('ghinoarsalan', 'NN'), ('august', 'VBP'), ('kepodang', 'NN'), ('oriolus', 'JJ'), ('chinensis', 'NN'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('kepodang', 'NN'), ('adalah', 'NN'), ('burung', 'NN'), ('berkicau', 'NN'), ('yang', 'NN'), ('mempun', 'NN'), ('ghino', 'NN'), ('arsalan', 'NN'), ('instagram', 'VBP'), ('kepodang', 'NN'), ('oriolus', 'JJ'), ('chinensis', 'NN'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('kepodang', 'NN'), ('adalah', 'NN'), ('burung', 'NN'), ('berkicau', 'NN'), ('yang', 'NN'), ('mempunyai', 'NN'), ('bulu', 'NN'), ('yang', 'NN'), ('indah', 'JJ'), ('dan', 'NN'), ('juga', 'NN'), ('terkenal', 'JJ'), ('sebagai', 'NN'), ('burung', 'NN'), ('pesolek', 'NN'), ('yang', 'NN')]]"
430," Little Egrets are migratory birds and their population is widely distributed throughout southern Europe, the Middle East, much of Africa, and Southern Asia. Some have taken permanent residence in the Philippines and are seen often flying or congregating near waterways, grasslands, inland wetlandÂ ...",Little Egret,302,little egret migratory bird population widely distributed throughout southern europe middle east much africa southern asia taken permanent residence philippine seen often flying congregating near waterway grassland inland wetland,little_egret migratory bird population widely distributed throughout southern europe middle east much africa southern asia taken permanent residence philippine seen often flying congregating near waterway grassland inland wetland,"[[('little_egret', 'JJ'), ('migratory', 'NN'), ('bird', 'NN'), ('population', 'NN'), ('widely', 'RB'), ('distributed', 'VBN'), ('throughout', 'IN'), ('southern', 'JJ'), ('europe', 'NN'), ('middle', 'VB'), ('east', 'RB'), ('much', 'JJ'), ('africa', 'NN'), ('southern', 'JJ'), ('asia', 'NN'), ('taken', 'VBN'), ('permanent', 'JJ'), ('residence', 'NN'), ('philippine', 'NN'), ('seen', 'VBN'), ('often', 'RB'), ('flying', 'VBG'), ('congregating', 'VBG'), ('near', 'IN'), ('waterway', 'NN'), ('grassland', 'NN'), ('inland', 'NN'), ('wetland', 'NN')]]"
431,"March 11, 2013 - 25 years ago the sighting of any White Heron in the UK would have been greeted with excitement. While Little Egret is now relatively common, it can sometimes be confused at distance with a much rarer",Little Egret,216,march year ago sighting white heron uk would greeted excitement little egret relatively common sometimes confused distance much rarer,march year ago sighting white heron uk would greeted excitement little_egret relatively common sometimes confused distance much rarer,"[[('march', 'CD'), ('year', 'NN'), ('ago', 'RB'), ('sighting', 'VBG'), ('white', 'JJ'), ('heron', 'NN'), ('uk', 'NN'), ('would', 'MD'), ('greeted', 'VB'), ('excitement', 'NN'), ('little_egret', 'NN'), ('relatively', 'RB'), ('common', 'JJ'), ('sometimes', 'RB'), ('confused', 'JJ'), ('distance', 'NN'), ('much', 'JJ'), ('rarer', 'NN')]]"
433,Learn about the Collared Kingfisher (Todiramphus chloris). Explore species distribution maps and see photos & recent sightings. Download Birda for free.,Collared Kingfisher,152,learn collared kingfisher todiramphus chloris explore specie distribution map see photo recent sighting download birda free,learn collared kingfisher todiramphus chloris explore specie distribution map see photo recent sighting download birda free,"[[('learn', 'NN'), ('collared', 'VBD'), ('kingfisher', 'JJR'), ('todiramphus', 'JJ'), ('chloris', 'NN'), ('explore', 'NN'), ('specie', 'JJ'), ('distribution', 'NN'), ('map', 'NN'), ('see', 'VBP'), ('photo', 'JJ'), ('recent', 'JJ'), ('sighting', 'VBG'), ('download', 'NN'), ('birda', 'NNS'), ('free', 'JJ')]]"
434,"A medium-sized bird of lowland and foothill forest and edge. Olive-yellow above with a gray chest, a heavily streaked belly, bright yellow under the base of the tail, a red bill, and orange eyes. Races differ, with Sulu birds being brighter yellow above and having light streaking on the pale gray chest. The only other oriole in range is Black-naped Oriole, which has bright yellow underparts. Song consists of typical oriole-like, medium-pitched notes, some given singly and others in short, melodic phrases.",Black-naped Oriole,510,medium sized bird lowland foothill forest edge olive yellow gray chest heavily streaked belly bright yellow base tail red bill orange eye race differ sulu bird brighter yellow light streaking pale gray chest oriole range black naped oriole bright yellow underpart song consists typical oriole like medium pitched note given singly others short melodic phrase,medium sized bird lowland foothill forest edge olive yellow gray chest heavily streaked belly bright yellow base tail red bill orange eye race differ sulu bird brighter yellow light streaking pale gray chest oriole range black naped oriole bright yellow underpart song consists typical oriole like medium pitched note given singly others short melodic phrase,"[[('medium', 'NN'), ('sized', 'VBD'), ('bird', 'NN'), ('lowland', 'NN'), ('foothill', 'NN'), ('forest', 'JJS'), ('edge', 'NN'), ('olive', 'JJ'), ('yellow', 'JJ'), ('gray', 'JJ'), ('chest', 'JJS'), ('heavily', 'RB'), ('streaked', 'VBN'), ('belly', 'RB'), ('bright', 'JJ'), ('yellow', 'JJ'), ('base', 'NN'), ('tail', 'NN'), ('red', 'JJ'), ('bill', 'NN'), ('orange', 'NN'), ('eye', 'NN'), ('race', 'NN'), ('differ', 'VBP'), ('sulu', 'JJ'), ('bird', 'NN'), ('brighter', 'NN'), ('yellow', 'JJ'), ('light', 'NN'), ('streaking', 'VBG'), ('pale', 'JJ'), ('gray', 'JJ'), ('chest', 'NN'), ('oriole', 'NN'), ('range', 'NN'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('bright', 'VBD'), ('yellow', 'JJ'), ('underpart', 'NN'), ('song', 'NN'), ('consists', 'VBZ'), ('typical', 'JJ'), ('oriole', 'NNS'), ('like', 'IN'), ('medium', 'NN'), ('pitched', 'VBN'), ('note', 'NN'), ('given', 'VBN'), ('singly', 'RB'), ('others', 'NNS'), ('short', 'JJ'), ('melodic', 'JJ'), ('phrase', 'NN')]]"
435,#BlackNapedOriole #Kilyawan #africanlovebirds #birdslover #birds #hagoromo #buhayprobinsya #parakeets #palefallow #lovebirds #petlover #birdsprice #parrot #b... ,Black-naped Oriole,161,blacknapedoriole kilyawan africanlovebirds birdslover bird hagoromo buhayprobinsya parakeet palefallow lovebird petlover birdsprice parrot b,blacknapedoriole kilyawan africanlovebirds birdslover bird hagoromo buhayprobinsya parakeet palefallow lovebird petlover birdsprice parrot b,"[[('blacknapedoriole', 'NN'), ('kilyawan', 'NN'), ('africanlovebirds', 'NNS'), ('birdslover', 'IN'), ('bird', 'NN'), ('hagoromo', 'NN'), ('buhayprobinsya', 'JJ'), ('parakeet', 'NN'), ('palefallow', 'JJ'), ('lovebird', 'NN'), ('petlover', 'NN'), ('birdsprice', 'NN'), ('parrot', 'NN'), ('b', 'NN')]]"
436,"Todiramphus chloris upper coat color varies from blue to greenish while the underside is white. There is a white collar around the neck, giving the bird its name. Some breeds have a white stripe on the eye while others have a white spot between the eye and the beak. Large beak is black with pale yellow base color. Female individuals tend to be greener than males. Immature individuals are more dull in color than adults with black scaly marks on the neck and chest.",Collared Kingfisher,467,todiramphus chloris upper coat color varies blue greenish underside white white collar around neck giving bird name breed white stripe eye others white spot eye beak large beak black pale yellow base color female individual tend greener male immature individual dull color adult black scaly mark neck chest,todiramphus chloris upper coat color varies blue greenish underside white white collar around neck giving bird name breed white stripe eye others white spot eye beak large beak black pale yellow base color female individual tend greener male immature individual dull color adult black scaly mark neck chest,"[[('todiramphus', 'RB'), ('chloris', 'JJ'), ('upper', 'JJ'), ('coat', 'NN'), ('color', 'NN'), ('varies', 'VBZ'), ('blue', 'JJ'), ('greenish', 'JJ'), ('underside', 'JJ'), ('white', 'JJ'), ('white', 'JJ'), ('collar', 'NN'), ('around', 'IN'), ('neck', 'NN'), ('giving', 'VBG'), ('bird', 'NN'), ('name', 'NN'), ('breed', 'VBD'), ('white', 'JJ'), ('stripe', 'NN'), ('eye', 'NN'), ('others', 'NNS'), ('white', 'JJ'), ('spot', 'NN'), ('eye', 'NN'), ('beak', 'VB'), ('large', 'JJ'), ('beak', 'JJ'), ('black', 'JJ'), ('pale', 'NN'), ('yellow', 'JJ'), ('base', 'NN'), ('color', 'NN'), ('female', 'JJ'), ('individual', 'JJ'), ('tend', 'NN'), ('greener', 'NN'), ('male', 'JJ'), ('immature', 'NN'), ('individual', 'JJ'), ('dull', 'NN'), ('color', 'NN'), ('adult', 'NN'), ('black', 'JJ'), ('scaly', 'NN'), ('mark', 'NN'), ('neck', 'NN'), ('chest', 'NN')]]"
437,Species accounts for all the birds of the world.,Collared Kingfisher,48,specie account bird world,specie account bird world,"[[('specie', 'NN'), ('account', 'NN'), ('bird', 'NN'), ('world', 'NN')]]"
438,"Avibase is an extensive database information system about all birds of the world, containing over &1 million records about 10,000 species and 22,000 subspecies of birds, including distribution information for 20,000 regions, taxonomy, synonyms in several languages and more. ",Collared Kingfisher,275,avibase extensive database information system bird world containing million record specie subspecies bird including distribution information region taxonomy synonym several language,avibase extensive database information system bird world containing million record specie subspecies bird including distribution information region taxonomy synonym several language,"[[('avibase', 'NN'), ('extensive', 'JJ'), ('database', 'NN'), ('information', 'NN'), ('system', 'NN'), ('bird', 'NN'), ('world', 'NN'), ('containing', 'VBG'), ('million', 'CD'), ('record', 'NN'), ('specie', 'NN'), ('subspecies', 'NNS'), ('bird', 'VBP'), ('including', 'VBG'), ('distribution', 'NN'), ('information', 'NN'), ('region', 'NN'), ('taxonomy', 'NN'), ('synonym', 'VBD'), ('several', 'JJ'), ('language', 'NN')]]"
439,"""â€œOn a warm midday at the beginning of the year, 22nd January 2015, we found an Black-naped Oriole (Oriolus chinensis) sprawled face down beneath a tree just",Black-naped Oriole,159,warm midday beginning year nd january found black naped oriole oriolus chinensis sprawled face beneath tree,warm midday beginning year nd january found black naped oriole oriolus chinensis sprawled face beneath tree,"[[('warm', 'JJ'), ('midday', 'NN'), ('beginning', 'VBG'), ('year', 'NN'), ('nd', 'RB'), ('january', 'JJ'), ('found', 'VBD'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('oriolus', 'JJ'), ('chinensis', 'NN'), ('sprawled', 'VBD'), ('face', 'NN'), ('beneath', 'NN'), ('tree', 'NN')]]"
