,index,description,species,cleaned_text
364,422,Article ,Black-naped Oriole,['article']
365,423,"Black-hooded oriole. The black-hooded oriole (Oriolus xanthornus) is a member of the oriole family of passerine birds and is a resident breeder in tropical southern Asia from India and Sri Lanka east to Indonesia. It is a bird of open woodland and cultivation. The nest is built in a tree, and contains two eggs. ",Black-naped Oriole,"['blackhooded', 'oriole', 'blackhooded', 'oriole', 'oriolus', 'xanthornus', 'member', 'oriole', 'family', 'passerine', 'birds', 'resident', 'breeder', 'tropical', 'southern', 'asia', 'india', 'sri', 'lanka', 'east', 'indonesia', 'bird', 'open', 'woodland', 'cultivation', 'nest', 'built', 'tree', 'contains', 'two', 'eggs']"
366,424,"Typical yellow and black Old World oriole. Male entirely golden-yellow apart from black wings and tail and a broad black band through the eyes. The tail and wings have yellow tips. The bill is deep pinkish. Female similar to the male but with more yellowish-green upperparts. Juveniles show streaked underparts. Found in a variety of forest habitats, including plantations and gardens; forages in forest canopy.",Black-naped Oriole,"['typical', 'yellow', 'black', 'old', 'world', 'oriole', 'male', 'entirely', 'goldenyellow', 'apart', 'black', 'wings', 'tail', 'broad', 'black', 'band', 'eyes', 'tail', 'wings', 'yellow', 'tips', 'bill', 'deep', 'pinkish', 'female', 'similar', 'male', 'yellowishgreen', 'upperparts', 'juveniles', 'show', 'streaked', 'underparts', 'found', 'variety', 'forest', 'habitats', 'including', 'plantations', 'gardens', 'forages', 'forest', 'canopy']"
367,425,"Seasonal occurrence. 54 foreground recordings and 9 background recordings of Actenoides concretus . Total recording duration 46:08. Recording made by the Guardian. Swamp loop. Taman Negara, Pahang. Kuala Terenggan area. Taman Negara, Pahang. Calling quietly at first, perched only about 2m off the ground, then increasing the volume of the call. ",Collared Kingfisher,"['seasonal', 'occurrence', '54', 'foreground', 'recordings', '9', 'background', 'recordings', 'actenoides', 'concretus', 'total', 'recording', 'duration', '4608', 'recording', 'made', 'guardian', 'swamp', 'loop', 'taman', 'negara', 'pahang', 'kuala', 'terenggan', 'area', 'taman', 'negara', 'pahang', 'calling', 'quietly', 'first', 'perched', '2m', 'ground', 'increasing', 'volume', 'call']"
368,426, Shop Walmart.com today for Every Day Low Prices. Join Walmart+ for unlimited free delivery from your store & free shipping with no order minimum. Start your free 30-day trial now!,Little Egret,"['shop', 'walmartcom', 'today', 'every', 'day', 'low', 'prices', 'join', 'walmart', 'unlimited', 'free', 'delivery', 'store', 'free', 'shipping', 'order', 'minimum', 'start', 'free', '30day', 'trial']"
369,427," This page should be cited as: Robinson, R.A. (2005) BirdFacts: profiles of birds occurring in Britain & Ireland. BTO, Thetford (http://www.bto.org/birdfacts, accessed on ) Â· Seen a ringed / dead / diseased bird",Little Egret,"['page', 'cited', 'robinson', 'ra', '2005', 'birdfacts', 'profiles', 'birds', 'occurring', 'britain', 'ireland', 'bto', 'thetford', 'httpwwwbtoorgbirdfacts', 'accessed', 'seen', 'ringed', 'dead', 'diseased', 'bird']"
370,428,"The Indian golden oriole is very similar to the Eurasian golden oriole but has more yellow in the tail and has a paler shade of red in the iris and bill. The male has the black eye stripe extending behind the eye, a large carpal patch on the wing and wide yellow tips to the secondaries and tertiaries. The streaks on the underside of females is ... ",Black-naped Oriole,"['indian', 'golden', 'oriole', 'similar', 'eurasian', 'golden', 'oriole', 'yellow', 'tail', 'paler', 'shade', 'red', 'iris', 'bill', 'male', 'black', 'eye', 'stripe', 'extending', 'behind', 'eye', 'large', 'carpal', 'patch', 'wing', 'wide', 'yellow', 'tips', 'secondaries', 'tertiaries', 'streaks', 'underside', 'females']"
371,429,"6 likes, 0 comments - ghinoarsalan on August 19, 2021: ""Kepodang (Oriolus chinensis) The black-naped oriole Kepodang adalah burung berkicau yang mempun..."" Ghino Arsalan on Instagram: ""Kepodang (Oriolus chinensis) The black-naped oriole Kepodang adalah burung berkicau yang mempunyai bulu yang indah dan juga terkenal sebagai burung pesolek yang ... ",Black-naped Oriole,"['6', 'likes', '0', 'comments', 'ghinoarsalan', 'august', '19', '2021', 'kepodang', 'oriolus', 'chinensis', 'blacknaped', 'oriole', 'kepodang', 'adalah', 'burung', 'berkicau', 'yang', 'mempun', 'ghino', 'arsalan', 'instagram', 'kepodang', 'oriolus', 'chinensis', 'blacknaped', 'oriole', 'kepodang', 'adalah', 'burung', 'berkicau', 'yang', 'mempunyai', 'bulu', 'yang', 'indah', 'dan', 'juga', 'terkenal', 'sebagai', 'burung', 'pesolek', 'yang']"
372,430," Little Egrets are migratory birds and their population is widely distributed throughout southern Europe, the Middle East, much of Africa, and Southern Asia. Some have taken permanent residence in the Philippines and are seen often flying or congregating near waterways, grasslands, inland wetlandÂ ...",Little Egret,"['little', 'egrets', 'migratory', 'birds', 'population', 'widely', 'distributed', 'throughout', 'southern', 'europe', 'middle', 'east', 'much', 'africa', 'southern', 'asia', 'taken', 'permanent', 'residence', 'philippines', 'seen', 'often', 'flying', 'congregating', 'near', 'waterways', 'grasslands', 'inland', 'wetland']"
373,431,"March 11, 2013 - 25 years ago the sighting of any White Heron in the UK would have been greeted with excitement. While Little Egret is now relatively common, it can sometimes be confused at distance with a much rarer",Little Egret,"['march', '11', '2013', '25', 'years', 'ago', 'sighting', 'white', 'heron', 'uk', 'would', 'greeted', 'excitement', 'little', 'egret', 'relatively', 'common', 'sometimes', 'confused', 'distance', 'much', 'rarer']"
374,433,Learn about the Collared Kingfisher (Todiramphus chloris). Explore species distribution maps and see photos & recent sightings. Download Birda for free.,Collared Kingfisher,"['learn', 'collared', 'kingfisher', 'todiramphus', 'chloris', 'explore', 'species', 'distribution', 'maps', 'see', 'photos', 'recent', 'sightings', 'download', 'birda', 'free']"
375,434,"A medium-sized bird of lowland and foothill forest and edge. Olive-yellow above with a gray chest, a heavily streaked belly, bright yellow under the base of the tail, a red bill, and orange eyes. Races differ, with Sulu birds being brighter yellow above and having light streaking on the pale gray chest. The only other oriole in range is Black-naped Oriole, which has bright yellow underparts. Song consists of typical oriole-like, medium-pitched notes, some given singly and others in short, melodic phrases.",Black-naped Oriole,"['mediumsized', 'bird', 'lowland', 'foothill', 'forest', 'edge', 'oliveyellow', 'gray', 'chest', 'heavily', 'streaked', 'belly', 'bright', 'yellow', 'base', 'tail', 'red', 'bill', 'orange', 'eyes', 'races', 'differ', 'sulu', 'birds', 'brighter', 'yellow', 'light', 'streaking', 'pale', 'gray', 'chest', 'oriole', 'range', 'blacknaped', 'oriole', 'bright', 'yellow', 'underparts', 'song', 'consists', 'typical', 'oriolelike', 'mediumpitched', 'notes', 'given', 'singly', 'others', 'short', 'melodic', 'phrases']"
376,435,#BlackNapedOriole #Kilyawan #africanlovebirds #birdslover #birds #hagoromo #buhayprobinsya #parakeets #palefallow #lovebirds #petlover #birdsprice #parrot #b... ,Black-naped Oriole,"['blacknapedoriole', 'kilyawan', 'africanlovebirds', 'birdslover', 'birds', 'hagoromo', 'buhayprobinsya', 'parakeets', 'palefallow', 'lovebirds', 'petlover', 'birdsprice', 'parrot', 'b']"
377,436,"Todiramphus chloris upper coat color varies from blue to greenish while the underside is white. There is a white collar around the neck, giving the bird its name. Some breeds have a white stripe on the eye while others have a white spot between the eye and the beak. Large beak is black with pale yellow base color. Female individuals tend to be greener than males. Immature individuals are more dull in color than adults with black scaly marks on the neck and chest.",Collared Kingfisher,"['todiramphus', 'chloris', 'upper', 'coat', 'color', 'varies', 'blue', 'greenish', 'underside', 'white', 'white', 'collar', 'around', 'neck', 'giving', 'bird', 'name', 'breeds', 'white', 'stripe', 'eye', 'others', 'white', 'spot', 'eye', 'beak', 'large', 'beak', 'black', 'pale', 'yellow', 'base', 'color', 'female', 'individuals', 'tend', 'greener', 'males', 'immature', 'individuals', 'dull', 'color', 'adults', 'black', 'scaly', 'marks', 'neck', 'chest']"
378,437,Species accounts for all the birds of the world.,Collared Kingfisher,"['species', 'accounts', 'birds', 'world']"
379,438,"Avibase is an extensive database information system about all birds of the world, containing over &1 million records about 10,000 species and 22,000 subspecies of birds, including distribution information for 20,000 regions, taxonomy, synonyms in several languages and more. ",Collared Kingfisher,"['avibase', 'extensive', 'database', 'information', 'system', 'birds', 'world', 'containing', '1', 'million', 'records', '10000', 'species', '22000', 'subspecies', 'birds', 'including', 'distribution', 'information', '20000', 'regions', 'taxonomy', 'synonyms', 'several', 'languages']"
380,439,"""â€œOn a warm midday at the beginning of the year, 22nd January 2015, we found an Black-naped Oriole (Oriolus chinensis) sprawled face down beneath a tree just",Black-naped Oriole,"['warm', 'midday', 'beginning', 'year', '22nd', 'january', '2015', 'found', 'blacknaped', 'oriole', 'oriolus', 'chinensis', 'sprawled', 'face', 'beneath', 'tree']"
381,440," Wildwood near Canterbury is a great day out for all ages where you can see amazing British wildlife from past and present. Set in 40 acres of ancient woodland, Wildwood holds a stunning collection of over 200 British animals in natural enclosures.",Little Egret,"['wildwood', 'near', 'canterbury', 'great', 'day', 'ages', 'see', 'amazing', 'british', 'wildlife', 'past', 'present', 'set', '40', 'acres', 'ancient', 'woodland', 'wildwood', 'holds', 'stunning', 'collection', '200', 'british', 'animals', 'natural', 'enclosures']"
382,441,"Javan Myna ; Range: Breeding range in Java, but introduced in many Asian countries. ; Taxonomy: Monotypic. ; Size: 24-25 cm ; Identification: Dark grey overall withï¿½...",Javan Myna,"['javan', 'myna', 'range', 'breeding', 'range', 'java', 'introduced', 'many', 'asian', 'countries', 'taxonomy', 'monotypic', 'size', '2425', 'cm', 'identification', 'dark', 'grey', 'overall']"
383,442,"27 Feb 2016 ï¿½ Javan myna rests on a tree at Rupat island which is part of Bengkalis Regency. Get premium, high resolution news photos at Getty Images.",Javan Myna,"['27', 'feb', '2016', 'javan', 'myna', 'rests', 'tree', 'rupat', 'island', 'part', 'bengkalis', 'regency', 'get', 'premium', 'high', 'resolution', 'news', 'photos', 'getty', 'images']"
384,444,"Locality: Near Cinnamon College, National University of Singapore (1.306337, 103.773321) Date & Time: 03 April 2023 0728hrs General Environment: Managed green space in front of Cinnamon College-Tembusu College Dining Hall. ",Black-naped Oriole,"['locality', 'near', 'cinnamon', 'college', 'national', 'university', 'singapore', '1306337', '103773321', 'date', 'time', '03', 'april', '2023', '0728hrs', 'general', 'environment', 'managed', 'green', 'space', 'front', 'cinnamon', 'collegetembusu', 'college', 'dining', 'hall']"
385,445,"A Black-naped Oriole (Oriolus chinensis) calling on top of a tall tree.Habitat - Early second growth, open scrub and gardens. Size - 10 to 11 inches total le... ",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'calling', 'top', 'tall', 'treehabitat', 'early', 'second', 'growth', 'open', 'scrub', 'gardens', 'size', '10', '11', 'inches', 'total', 'le']"
386,446,"Browse Getty Images' premium collection of high-quality, authentic Javan Myna stock photos, royalty-free images, and pictures. Javan Myna stock photos areï¿½...",Javan Myna,"['browse', 'getty', 'images', 'premium', 'collection', 'highquality', 'authentic', 'javan', 'myna', 'stock', 'photos', 'royaltyfree', 'images', 'pictures', 'javan', 'myna', 'stock', 'photos']"
387,447,"21 Jan 2010 ï¿½ Frugivore: Yellow-vented Bulbul (Pycnonotus goiavier) ï¿½ Total observed: 1 ï¿½ Fruits eaten: 1 (whole) ï¿½ Comment: Fruit swallowed entirely, weatherï¿½...",Javan Myna,"['21', 'jan', '2010', 'frugivore', 'yellowvented', 'bulbul', 'pycnonotus', 'goiavier', 'total', 'observed', '1', 'fruits', 'eaten', '1', 'whole', 'comment', 'fruit', 'swallowed', 'entirely', 'weather']"
388,448,"April 28, 2021 - Little egret (Egretta garzetta) identification guide. Identifying features, nesting and feeding habits, call, and where to see them in the UK.",Little Egret,"['april', '28', '2021', 'little', 'egret', 'egretta', 'garzetta', 'identification', 'guide', 'identifying', 'features', 'nesting', 'feeding', 'habits', 'call', 'see', 'uk']"
389,450,"Bill and Leg Color: Great, Javan, and Jungle Mynas all have matching yellowish-range bills and legsâ€”although Jungle differs in that its bill is stronglyï¿½...",Javan Myna,"['bill', 'leg', 'color', 'great', 'javan', 'jungle', 'mynas', 'matching', 'yellowishrange', 'bills', 'legsalthough', 'jungle', 'differs', 'bill', 'strongly']"
390,452,Genus: Acridotheres. The Common Myna or Indian Myna. (Acridotheres tristis) ... competition with the related introduced Javan myna. Relationship with humans.,Javan Myna,"['genus', 'acridotheres', 'common', 'myna', 'indian', 'myna', 'acridotheres', 'tristis', 'competition', 'related', 'introduced', 'javan', 'myna', 'relationship', 'humans']"
391,454," HABITAT : Little Egret frequent a wide variety of open wetlands with fresh, brackish or salt shallow water. It is visible on river and lakeâ€™s shores, in marshes, rice fields, flooded areas, sandy beaches, mudflats and mangroves, according to the range. It also follows cattle in drier areas.",Little Egret,"['habitat', 'little', 'egret', 'frequent', 'wide', 'variety', 'open', 'wetlands', 'fresh', 'brackish', 'salt', 'shallow', 'water', 'visible', 'river', 'lakes', 'shores', 'marshes', 'rice', 'fields', 'flooded', 'areas', 'sandy', 'beaches', 'mudflats', 'mangroves', 'according', 'range', 'also', 'follows', 'cattle', 'drier', 'areas']"
392,455,"Length. 24-25. cm inch. Wingspan. 44-47. cm inch. The Eurasian golden oriole ( Oriolus oriolus) is the only member of the Old World oriole family of passerine birds breeding in Northern Hemisphere temperate regions. The name ""oriole"" was first used in the 18th century and is an adaptation of the scientific Latin genus name, which is derived ... ",Black-naped Oriole,"['length', '2425', 'cm', 'inch', 'wingspan', '4447', 'cm', 'inch', 'eurasian', 'golden', 'oriole', 'oriolus', 'oriolus', 'member', 'old', 'world', 'oriole', 'family', 'passerine', 'birds', 'breeding', 'northern', 'hemisphere', 'temperate', 'regions', 'name', 'oriole', 'first', 'used', '18th', 'century', 'adaptation', 'scientific', 'latin', 'genus', 'name', 'derived']"
393,456,"The Slender-billed Oriole was considered to be conspecific but is now widely accepted as full species, including the subspecies invisus from southern Vietnam, formerly placed in Black-naped Oriole. Many Black-naped Oriole subspecies probably deserve full species status since there are 9 deeply (genetically) divergent lineages (indicated against ... ",Black-naped Oriole,"['slenderbilled', 'oriole', 'considered', 'conspecific', 'widely', 'accepted', 'full', 'species', 'including', 'subspecies', 'invisus', 'southern', 'vietnam', 'formerly', 'placed', 'blacknaped', 'oriole', 'many', 'blacknaped', 'oriole', 'subspecies', 'probably', 'deserve', 'full', 'species', 'status', 'since', '9', 'deeply', 'genetically', 'divergent', 'lineages', 'indicated']"
394,457,Note: Xeno-canto follows the IOC taxonomy. External sites may use a different taxonomy. Seasonal occurrence. Resident; Breeding; Non-breedingï¿½...,Javan Myna,"['note', 'xenocanto', 'follows', 'ioc', 'taxonomy', 'external', 'sites', 'may', 'use', 'different', 'taxonomy', 'seasonal', 'occurrence', 'resident', 'breeding', 'nonbreeding']"
395,458,"Escapee: Exotic species known or suspected to be escaped or released, including those that have bred but don't yet fulfill the criteria for Provisional. Escapee exotics do not count in official eBird totals. Learn about Black-naped Oriole (Sunda): explore photos, sounds, and observations collected by birders around the world. ",Black-naped Oriole,"['escapee', 'exotic', 'species', 'known', 'suspected', 'escaped', 'released', 'including', 'bred', 'dont', 'yet', 'fulfill', 'criteria', 'provisional', 'escapee', 'exotics', 'count', 'official', 'ebird', 'totals', 'learn', 'blacknaped', 'oriole', 'sunda', 'explore', 'photos', 'sounds', 'observations', 'collected', 'birders', 'around', 'world']"
396,459, biodiversity explorer Â· the web of life in southern Africa,Little Egret,"['biodiversity', 'explorer', 'web', 'life', 'southern', 'africa']"
397,465,"The Javan kingfisher ( Halcyon cyanoventris ), sometimes called the blue-bellied kingfisher or Java kingfisher, is a medium-sized kingfisher (subfamily Halcyoninae) endemic to the Indonesian islands of Java and Bali. The brightly-colored Javan kingfisher has the large head and bill typical of kingfishers, although the species is less suited for ... ",Collared Kingfisher,"['javan', 'kingfisher', 'halcyon', 'cyanoventris', 'sometimes', 'called', 'bluebellied', 'kingfisher', 'java', 'kingfisher', 'mediumsized', 'kingfisher', 'subfamily', 'halcyoninae', 'endemic', 'indonesian', 'islands', 'java', 'bali', 'brightlycolored', 'javan', 'kingfisher', 'large', 'head', 'bill', 'typical', 'kingfishers', 'although', 'species', 'less', 'suited']"
398,467,"Recording was made in .m4a format (sample rate: 44.1 kHz, bitrate: 128 kbps) and converted into .mp3 thru zamzar.com. Habitat: Call was coming from a Santol (Sandoricum koetjape) tree, from which black-naped orioles are occasionally seen. Eurasian tree sparrows were also heard at the same time, from the same area. ",Black-naped Oriole,"['recording', 'made', 'm4a', 'format', 'sample', 'rate', '441', 'khz', 'bitrate', '128', 'kbps', 'converted', 'mp3', 'thru', 'zamzarcom', 'habitat', 'call', 'coming', 'santol', 'sandoricum', 'koetjape', 'tree', 'blacknaped', 'orioles', 'occasionally', 'seen', 'eurasian', 'tree', 'sparrows', 'also', 'heard', 'time', 'area']"
399,469,"May 4, 2017 - Little egret hunting in the morning.",Little Egret,"['may', '4', '2017', 'little', 'egret', 'hunting', 'morning']"
400,470,"The Collared Kingfisher (Todiramphus chloris) is a medium-sized Asian kingfisher. It is part of the subfamily Halcyoninae, the tree kingfishers. It is also called the White-collared Kingfisher or Mangrove Kingfisher, though the latter common name also refers to the species Halcyon senegaloides. The split species Islet Kingfisher, Pacific Kingfisher, Mariana Kingfisher, Melanesian Kingfisher ... ",Collared Kingfisher,"['collared', 'kingfisher', 'todiramphus', 'chloris', 'mediumsized', 'asian', 'kingfisher', 'part', 'subfamily', 'halcyoninae', 'tree', 'kingfishers', 'also', 'called', 'whitecollared', 'kingfisher', 'mangrove', 'kingfisher', 'though', 'latter', 'common', 'name', 'also', 'refers', 'species', 'halcyon', 'senegaloides', 'split', 'species', 'islet', 'kingfisher', 'pacific', 'kingfisher', 'mariana', 'kingfisher', 'melanesian', 'kingfisher']"
401,472," 1887 Little Egret Dr, Port Orange FL, is a Mobile / Manufactured home that contains 1344 sq ft and was built in 2001.It contains 2 bedrooms and 2 bathrooms. The Zestimate for this Mobile / Manufactured is $138,200, which has decreased by $20,377 in the last 30 days.The Rent Zestimate for thisÂ ...",Little Egret,"['1887', 'little', 'egret', 'dr', 'port', 'orange', 'fl', 'mobile', 'manufactured', 'home', 'contains', '1344', 'sq', 'ft', 'built', '2001it', 'contains', '2', 'bedrooms', '2', 'bathrooms', 'zestimate', 'mobile', 'manufactured', '138200', 'decreased', '20377', 'last', '30', 'daysthe', 'rent', 'zestimate']"
402,473,"... Javan Myna Tour for the non season Nobody knows for sure why the. Singapore Javan Mynah Society Photobooth , photoes taken with the famous Orchard Road mynas atï¿½...",Javan Myna,"['javan', 'myna', 'tour', 'non', 'season', 'nobody', 'knows', 'sure', 'singapore', 'javan', 'mynah', 'society', 'photobooth', 'photoes', 'taken', 'famous', 'orchard', 'road', 'mynas']"
403,474,"December 9, 2015 - Species In This Article Snowy Egret Great Egret Cattle Egret Little Blue Heron Reddish Egret â€œGreat Whiteâ€ Heron Little Egret (vagrant) Editor's note:Â ...",Little Egret,"['december', '9', '2015', 'species', 'article', 'snowy', 'egret', 'great', 'egret', 'cattle', 'egret', 'little', 'blue', 'heron', 'reddish', 'egret', 'great', 'white', 'heron', 'little', 'egret', 'vagrant', 'editors', 'note']"
404,475,To cite this page: SoIB 2023. State of India's Birds factsheet: Black-naped Oriole Oriolus chinensis (India) https://stateofindiasbirds.in/species/blnori1/.Accessed ... ,Black-naped Oriole,"['cite', 'page', 'soib', '2023', 'state', 'indias', 'birds', 'factsheet', 'blacknaped', 'oriole', 'oriolus', 'chinensis', 'india', 'httpsstateofindiasbirdsinspeciesblnori1accessed']"
405,476,"The Black-winged Myna (Acridotheres melanopterus) is an endemic species to West Java. Once common and widespread, this species has faced a massive declineï¿½...",Javan Myna,"['blackwinged', 'myna', 'acridotheres', 'melanopterus', 'endemic', 'species', 'west', 'java', 'common', 'widespread', 'species', 'faced', 'massive', 'decline']"
406,477,"Range of Collared Kingfisher extends from East Africa to Polynesia, but only vagrants reach Chinese coast (Jiangsu, Fujian).",Collared Kingfisher,"['range', 'collared', 'kingfisher', 'extends', 'east', 'africa', 'polynesia', 'vagrants', 'reach', 'chinese', 'coast', 'jiangsu', 'fujian']"
407,478,"Nov 16, 2020 Â·  The Kingfisher family (Alcedinidae) is one of the most well loved families in the avian world probably due to their bright and boldly patterned plumage. Their colors are usually dominated with blues, greens and orange-y browns. Their massive, pointy beaks are effective weapons in catching their prey. ",Collared Kingfisher,"['nov', '16', '2020', 'kingfisher', 'family', 'alcedinidae', 'one', 'well', 'loved', 'families', 'avian', 'world', 'probably', 'due', 'bright', 'boldly', 'patterned', 'plumage', 'colors', 'usually', 'dominated', 'blues', 'greens', 'orangey', 'browns', 'massive', 'pointy', 'beaks', 'effective', 'weapons', 'catching', 'prey']"
408,480,"Description. Locally known as Black-naped Oriole or Dendang Selayang in Malay (Asyraf et al ., 2015), Oriolus chinensis is a passerine bird belonging to the Oriolidae family that can be found in many parts of Asia. This species is a resident from the Indian subcontinent through China, Korean, eastern Russia through South-East Asia to the ... ",Black-naped Oriole,"['description', 'locally', 'known', 'blacknaped', 'oriole', 'dendang', 'selayang', 'malay', 'asyraf', 'et', 'al', '2015', 'oriolus', 'chinensis', 'passerine', 'bird', 'belonging', 'oriolidae', 'family', 'found', 'many', 'parts', 'asia', 'species', 'resident', 'indian', 'subcontinent', 'china', 'korean', 'eastern', 'russia', 'southeast', 'asia']"
409,481,"In the hot lowlands of the Southwest, this slim oriole is often common in the trees along streams and in suburbs. It is especially likely to be seen around palms, frequently attaching its hanging...",Black-naped Oriole,"['hot', 'lowlands', 'southwest', 'slim', 'oriole', 'often', 'common', 'trees', 'along', 'streams', 'suburbs', 'especially', 'likely', 'seen', 'around', 'palms', 'frequently', 'attaching', 'hanging']"
410,482,#blacknapedoriole #kilyawan #howtofeedblacknapedorioleblack naped oriole hungry bird feed by 3 years old girl black naped oriole in the philippinespihilippin... ,Black-naped Oriole,"['blacknapedoriole', 'kilyawan', 'howtofeedblacknapedorioleblack', 'naped', 'oriole', 'hungry', 'bird', 'feed', '3', 'years', 'old', 'girl', 'black', 'naped', 'oriole', 'philippinespihilippin']"
411,484,"This yearâ€™s update is v2015 of the eBird/Clements Checklist. The eBird/Clements Checklist is an integrated global taxonomy for the birds of the world, including all species and subspecies, as well as additional taxa useful to field birders to report in eBird. The list of species available in eBird is the eBird Taxonomy (v2015) and includes ... ",Black-naped Oriole,"['years', 'update', 'v2015', 'ebirdclements', 'checklist', 'ebirdclements', 'checklist', 'integrated', 'global', 'taxonomy', 'birds', 'world', 'including', 'species', 'subspecies', 'well', 'additional', 'taxa', 'useful', 'field', 'birders', 'report', 'ebird', 'list', 'species', 'available', 'ebird', 'ebird', 'taxonomy', 'v2015', 'includes']"
412,485,"Javan Myna aka white vented myna Acridotheres javanicus Location : Residential Garden, Merryn Road, Singapore 23rd. December 2007 Introduced into Singaporeï¿½...",Javan Myna,"['javan', 'myna', 'aka', 'white', 'vented', 'myna', 'acridotheres', 'javanicus', 'location', 'residential', 'garden', 'merryn', 'road', 'singapore', '23rd', 'december', '2007', 'introduced', 'singapore']"
413,486,"Black-naped Oriole SCI Name: Â Oriolus chinensis Protonym: Â Oriolus chinensis Syst.Nat.ed.12 ed.12 p.160 Category: Â Passeriformes / Oriolidae / Oriolus Taxonomy Code: Â blnori1 Type Locality: Â China in error = Manila; see Meinertzhagen, Ibis, 1923, p. 72; Stresemann, 1952, Ibis, 94, p. 508. Author: Â Linnaeus Publish Year: Â 1766 IUCN Status: Â Least Concern DEFINITIONS ORIOLUS (Oriolidae; Ï® Eurasian Golden...",Black-naped Oriole,"['blacknaped', 'oriole', 'sci', 'name', 'oriolus', 'chinensis', 'protonym', 'oriolus', 'chinensis', 'systnated12', 'ed12', 'p160', 'category', 'passeriformes', 'oriolidae', 'oriolus', 'taxonomy', 'code', 'blnori1', 'type', 'locality', 'china', 'error', 'manila', 'see', 'meinertzhagen', 'ibis', '1923', 'p', '72', 'stresemann', '1952', 'ibis', '94', 'p', '508', 'author', 'linnaeus', 'publish', 'year', '1766', 'iucn', 'status', 'least', 'concern', 'definitions', 'oriolus', 'oriolidae', 'eurasian', 'golden']"
414,488,Description: Black-naped Oriole FOR SALEP500.00/each Just txt or call me thru my mobile: +639324089173Meet ups in Cavite or Pasay or nearby place from cavite ... ,Black-naped Oriole,"['description', 'blacknaped', 'oriole', 'salep50000each', 'txt', 'call', 'thru', 'mobile', '639324089173meet', 'ups', 'cavite', 'pasay', 'nearby', 'place', 'cavite']"
415,489,#blacknapedoriole #kilyawan #howtofeedblacknapedorioleblack naped oriole hungry bird feed by 3 years old girl black naped oriole in the philippinespihilippin...,Black-naped Oriole,"['blacknapedoriole', 'kilyawan', 'howtofeedblacknapedorioleblack', 'naped', 'oriole', 'hungry', 'bird', 'feed', '3', 'years', 'old', 'girl', 'black', 'naped', 'oriole', 'philippinespihilippin']"
416,490,"More. Black-naped Oriole is a medium-sized yellow and black bird. The male is bright yellow except for a broad black stripe through the eye, widening into a broader black band around the nape and hind crown, and black-and-yellow wings and tail. The female and subadult male are similar but the mantle is yellow-olive; the immature is yellowish ... ",Black-naped Oriole,"['blacknaped', 'oriole', 'mediumsized', 'yellow', 'black', 'bird', 'male', 'bright', 'yellow', 'except', 'broad', 'black', 'stripe', 'eye', 'widening', 'broader', 'black', 'band', 'around', 'nape', 'hind', 'crown', 'blackandyellow', 'wings', 'tail', 'female', 'subadult', 'male', 'similar', 'mantle', 'yellowolive', 'immature', 'yellowish']"
417,492," Long, S-shaped neck with sharp angle/bend. Erect posture, and less skulking, horizontal hunting behaviour than Little Egret. Almost twice the size of Little Egret, and wing-beats are considerably slower. Wings give the impression of being attached more upfront than in Little E.",Little Egret,"['long', 'sshaped', 'neck', 'sharp', 'anglebend', 'erect', 'posture', 'less', 'skulking', 'horizontal', 'hunting', 'behaviour', 'little', 'egret', 'almost', 'twice', 'size', 'little', 'egret', 'wingbeats', 'considerably', 'slower', 'wings', 'give', 'impression', 'attached', 'upfront', 'little', 'e']"
418,493,Not an April Fool's joke.,Collared Kingfisher,"['april', 'fools', 'joke']"
419,494, During the second half of the 19th ... protection has brought the egret back and is one of the great success stories of the Endangered Species Act. The author is a physician and historical fiction novelist. She is the author of Mr. Darcy's Little Sister....,Little Egret,"['second', 'half', '19th', 'protection', 'brought', 'egret', 'back', 'one', 'great', 'success', 'stories', 'endangered', 'species', 'act', 'author', 'physician', 'historical', 'fiction', 'novelist', 'author', 'mr', 'darcys', 'little', 'sister']"
420,495,"RDR2 - Quick video guide showing locations where I found Snowy, Reddish, & Little Egret birds fairly regularly in Red Dead Redemption 2.Part of the Duchess &...",Little Egret,"['rdr2', 'quick', 'video', 'guide', 'showing', 'locations', 'found', 'snowy', 'reddish', 'little', 'egret', 'birds', 'fairly', 'regularly', 'red', 'dead', 'redemption', '2part', 'duchess']"
421,496,"Appearance, physical description and identification. The black-naped oriole () is a medium-sized oriole, measuring 25 to 30 cm in length and weighing 60 to 100 grams. The adult black-naped oriole has bright golden-yellow head, upperparts and underparts. The wings have varying levels of blackness among the subspecies. ",Black-naped Oriole,"['appearance', 'physical', 'description', 'identification', 'blacknaped', 'oriole', 'mediumsized', 'oriole', 'measuring', '25', '30', 'cm', 'length', 'weighing', '60', '100', 'grams', 'adult', 'blacknaped', 'oriole', 'bright', 'goldenyellow', 'head', 'upperparts', 'underparts', 'wings', 'varying', 'levels', 'blackness', 'among', 'subspecies']"
